"Force, Time"
"1.43,7492"
"1.43,7503"
"1.44,7515"
"1.43,7527"
"1.43,7538"
"1.44,7549"
"1.43,7561"
"1.43,7572"
"1.43,7583"
"1.43,7596"
"1.43,7607"
"1.43,7618"
"1.43,7629"
"1.43,7641"
"1.43,7653"
"1.43,7664"
"1.43,7675"
"1.43,7687"
"1.43,7698"
"1.43,7709"
"1.43,7721"
"1.43,7733"
"1.43,7744"
"1.42,7755"
"1.43,7767"
"1.43,7778"
"1.42,7790"
"1.43,7801"
"1.43,7813"
"1.42,7824"
"1.43,7835"
"1.43,7846"
"1.42,7859"
"1.43,7870"
"1.43,7881"
"1.42,7892"
"1.42,7904"
"1.43,7915"
"1.42,7927"
"1.42,7939"
"1.43,7950"
"1.42,7961"
"1.42,7972"
"1.42,7985"
"1.42,7996"
"1.42,8007"
"1.42,8018"
"1.42,8030"
"1.42,8041"
"1.42,8053"
"1.42,8065"
"1.42,8076"
"1.42,8087"
"1.42,8098"
"1.42,8110"
"1.42,8122"
"1.42,8133"
"1.42,8144"
"1.41,8156"
"1.42,8167"
"1.42,8178"
"1.41,8190"
"1.42,8202"
"1.42,8213"
"1.41,8224"
"1.42,8236"
"1.42,8247"
"1.41,8259"
"1.42,8270"
"1.42,8282"
"1.41,8293"
"1.41,8304"
"1.42,8315"
"1.41,8328"
"1.41,8339"
"1.42,8350"
"1.41,8361"
"1.41,8373"
"1.42,8385"
"1.41,8396"
"1.41,8408"
"1.41,8419"
"1.41,8430"
"1.41,8441"
"1.41,8454"
"1.41,8465"
"1.41,8476"
"1.41,8487"
"1.41,8499"
"1.41,8510"
"1.41,8522"
"1.41,8534"
"1.41,8545"
"1.40,8556"
"1.41,8567"
"1.41,8579"
"1.40,8591"
"1.41,8602"
"1.41,8613"
"1.40,8625"
"1.41,8636"
"1.41,8647"
"1.40,8659"
"1.40,8671"
"1.41,8682"
"1.40,8693"
"1.40,8705"
"1.41,8717"
"1.40,8728"
"1.40,8739"
"1.41,8751"
"1.40,8762"
"1.40,8773"
"1.40,8785"
"1.40,8797"
"1.40,8808"
"1.40,8819"
"1.40,8830"
"1.40,8842"
"1.40,8854"
"1.40,8865"
"1.40,8877"
"1.40,8888"
"1.40,8899"
"1.40,8910"
"1.40,8923"
"1.40,8934"
"1.40,8945"
"1.40,8956"
"1.40,8968"
"1.40,8979"
"1.40,8991"
"1.40,9003"
"1.40,9014"
"1.40,9025"
"1.40,9036"
"1.40,9048"
"1.40,9060"
"1.40,9071"
"1.40,9082"
"1.40,9094"
"1.40,9105"
"1.40,9117"
"1.40,9128"
"1.40,9140"
"1.40,9151"
"1.40,9162"
"1.39,9174"
"1.40,9186"
"1.40,9197"
"1.39,9208"
"1.40,9220"
"1.40,9231"
"1.39,9242"
"1.40,9254"
"1.40,9266"
"1.39,9277"
"1.39,9288"
"1.40,9299"
"1.39,9311"
"1.39,9323"
"1.40,9334"
"1.39,9346"
"1.39,9357"
"1.40,9368"
"1.40,9379"
"1.39,9392"
"1.40,9403"
"1.40,9414"
"1.39,9425"
"1.39,9437"
"1.40,9449"
"1.39,9460"
"1.39,9472"
"1.40,9483"
"1.39,9494"
"1.39,9505"
"1.40,9518"
"1.39,9529"
"1.39,9540"
"1.40,9551"
"1.39,9563"
"1.39,9574"
"1.39,9586"
"1.39,9597"
"1.39,9609"
"1.39,9620"
"1.39,9631"
"1.39,9643"
"1.39,9655"
"1.39,9666"
"1.39,9677"
"1.39,9689"
"1.39,9700"
"1.39,9711"
"1.39,9723"
"1.39,9735"
"1.39,9746"
"1.39,9757"
"1.39,9768"
"1.39,9780"
"1.38,9792"
"1.39,9803"
"1.39,9815"
"1.39,9826"
"1.39,9837"
"1.39,9849"
"1.39,9861"
"1.39,9872"
"1.39,9883"
"1.39,9894"
"1.39,9906"
"1.39,9918"
"1.39,9929"
"1.38,9940"
"1.39,9952"
"1.39,9963"
"1.38,9974"
"1.39,9987"
"1.39,9998"
"1.38,10009"
"1.39,10021"
"1.39,10034"
"1.39,10046"
"1.38,10059"
"1.39,10072"
"1.39,10084"
"1.39,10096"
"1.38,10108"
"1.39,10122"
"1.39,10134"
"1.39,10146"
"1.38,10159"
"1.39,10171"
"1.39,10184"
"1.39,10196"
"1.38,10209"
"1.39,10221"
"1.39,10233"
"1.39,10246"
"1.38,10259"
"1.39,10271"
"1.39,10284"
"1.39,10296"
"1.38,10308"
"1.39,10321"
"1.39,10334"
"1.39,10346"
"1.38,10358"
"1.39,10371"
"1.39,10384"
"1.39,10396"
"1.38,10408"
"1.39,10421"
"1.39,10433"
"1.39,10445"
"1.38,10459"
"1.39,10471"
"1.39,10483"
"1.39,10496"
"1.38,10508"
"1.39,10521"
"1.39,10533"
"1.39,10546"
"1.38,10558"
"1.39,10570"
"1.39,10584"
"1.39,10596"
"1.38,10608"
"1.39,10620"
"1.39,10633"
"1.38,10645"
"1.38,10658"
"1.39,10671"
"1.39,10683"
"1.39,10695"
"1.38,10707"
"1.39,10721"
"1.39,10733"
"1.39,10745"
"1.38,10758"
"1.39,10770"
"1.39,10783"
"1.39,10796"
"1.38,10808"
"1.39,10820"
"1.39,10832"
"1.39,10845"
"1.38,10858"
"1.39,10870"
"1.39,10883"
"1.38,10895"
"1.38,10907"
"1.39,10920"
"1.39,10933"
"1.38,10945"
"1.38,10957"
"1.39,10970"
"1.39,10983"
"1.38,10995"
"1.38,11008"
"1.39,11020"
"1.39,11032"
"1.38,11044"
"1.38,11058"
"1.39,11070"
"1.39,11082"
"1.38,11095"
"1.38,11107"
"1.39,11120"
"1.39,11132"
"1.38,11145"
"1.38,11157"
"1.39,11169"
"1.39,11183"
"1.38,11195"
"1.38,11207"
"1.39,11219"
"1.39,11232"
"1.38,11244"
"1.38,11257"
"1.39,11270"
"1.39,11282"
"1.38,11294"
"1.38,11307"
"1.39,11320"
"1.39,11332"
"1.38,11344"
"1.38,11357"
"1.39,11369"
"1.39,11382"
"1.38,11395"
"1.38,11407"
"1.39,11419"
"1.39,11431"
"1.38,11444"
"1.38,11457"
"1.39,11469"
"1.39,11482"
"1.38,11494"
"1.38,11506"
"1.39,11520"
"1.39,11532"
"1.38,11544"
"1.38,11556"
"1.39,11569"
"1.39,11582"
"1.38,11594"
"1.38,11607"
"1.39,11619"
"1.39,11631"
"1.38,11643"
"1.38,11657"
"1.39,11669"
"1.39,11681"
"1.38,11694"
"1.38,11706"
"1.39,11719"
"1.39,11731"
"1.38,11744"
"1.38,11756"
"1.39,11768"
"1.39,11782"
"1.38,11794"
"1.38,11806"
"1.39,11819"
"1.39,11831"
"1.38,11843"
"1.38,11856"
"1.39,11869"
"1.39,11881"
"1.38,11893"
"1.38,11906"
"1.39,11919"
"1.39,11931"
"1.38,11943"
"1.39,11956"
"1.39,11968"
"1.39,11981"
"1.38,11994"
"1.39,12006"
"1.39,12018"
"1.39,12030"
"1.38,12043"
"1.39,12056"
"1.39,12068"
"1.39,12081"
"1.38,12093"
"1.39,12105"
"1.39,12119"
"1.39,12131"
"1.38,12143"
"1.39,12155"
"1.39,12168"
"1.39,12181"
"1.38,12193"
"1.39,12206"
"1.39,12218"
"1.39,12230"
"1.38,12242"
"1.39,12256"
"1.39,12268"
"1.39,12280"
"1.38,12293"
"1.39,12305"
"1.39,12318"
"1.39,12331"
"1.38,12343"
"1.39,12355"
"1.39,12367"
"1.38,12381"
"1.38,12393"
"1.39,12405"
"1.39,12418"
"1.38,12430"
"1.38,12442"
"1.39,12455"
"1.39,12468"
"1.38,12480"
"1.38,12492"
"1.39,12505"
"1.39,12518"
"1.38,12530"
"1.38,12542"
"1.39,12555"
"1.39,12567"
"1.38,12580"
"1.38,12593"
"1.39,12605"
"1.39,12617"
"1.38,12630"
"1.38,12642"
"1.39,12655"
"1.39,12667"
"1.38,12680"
"1.38,12692"
"1.39,12704"
"1.39,12718"
"1.38,12730"
"1.38,12742"
"1.39,12754"
"1.39,12767"
"1.38,12780"
"1.38,12792"
"1.39,12805"
"1.39,12817"
"1.38,12829"
"1.38,12841"
"1.39,12855"
"1.39,12867"
"1.38,12879"
"1.38,12892"
"1.39,12904"
"1.39,12917"
"1.38,12930"
"1.38,12942"
"1.39,12954"
"1.39,12966"
"1.38,12980"
"1.38,12992"
"1.39,13004"
"1.39,13017"
"1.38,13029"
"1.38,13041"
"1.39,13054"
"1.39,13067"
"1.38,13079"
"1.38,13091"
"1.39,13104"
"1.39,13117"
"1.38,13129"
"1.38,13142"
"1.39,13154"
"1.39,13166"
"1.38,13179"
"1.38,13192"
"1.39,13204"
"1.39,13216"
"1.38,13229"
"1.38,13241"
"1.39,13254"
"1.39,13266"
"1.38,13279"
"1.38,13291"
"1.39,13303"
"1.39,13317"
"1.38,13329"
"1.38,13341"
"1.39,13353"
"1.39,13366"
"1.38,13379"
"1.38,13391"
"1.39,13404"
"1.39,13416"
"1.38,13428"
"1.38,13441"
"1.39,13454"
"1.39,13466"
"1.38,13478"
"1.38,13491"
"1.39,13503"
"1.39,13516"
"1.38,13529"
"1.38,13541"
"1.39,13553"
"1.39,13565"
"1.38,13579"
"1.38,13591"
"1.39,13603"
"1.39,13616"
"1.38,13628"
"1.38,13640"
"1.39,13654"
"1.39,13666"
"1.38,13678"
"1.38,13690"
"1.39,13703"
"1.39,13716"
"1.38,13728"
"1.39,13741"
"1.39,13753"
"1.39,13765"
